Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,sample_size,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,0,LD1,2474,0.375,0.75,1,1,1,0.0474702438755187,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,19,0,,,0.25
hb,1,LD1,2474,0.340909090909091,0.733673469387755,0.947368421052632,1,1,0.0521571115815209,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,32.3413,0,,,0.266326530612245
hb,2,LD1,2474,0.294117647058824,0.714285714285714,0.909090909090909,1,1,0.0568439792875232,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,53.5936,0,,,0.285714285714286
hb,3,LD1,2474,0.22962962962963,0.680212765957447,0.866666666666667,0.982646393566223,1,0.0615308469935254,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,86.4476,0,,,0.302433627608776
hb,4,LD1,2474,0.153846153846154,0.636363636363636,0.8220700152207,0.961324570273003,1,0.0662177146995277,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,136.5462,0,,,0.324960933909367
hb,5,LD1,2474,0.106060606060606,0.603362068965517,0.78171368861024,0.9375,1,0.0709045824055299,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,211.4394,0,,,0.334137931034483
hb,6,LD1,2474,0.0694444444444445,0.574305555555556,0.75,0.913650612710174,1,0.0755914501115322,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,322.0775,0,,,0.339345057154618
hb,7,LD1,2474,0.0769230769230769,0.554768071579939,0.715081957388151,0.885914808990843,1,0.0802783178175344,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,480.95095,0,,,0.331146737410904
hb,8,LD1,2474,0.0779014308426073,0.532562328182766,0.682310537961554,0.849060508886653,1,0.0849651855235367,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,698.70395,0,,,0.316498180703887
hb,9,LD1,2474,0.0782442748091603,0.517055182031542,0.657145175401462,0.810575607111452,1,0.0896520532295389,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,970.1627,0,,,0.29352042507991
hb,10,LD1,2474,0.0967741935483871,0.503956174438687,0.636818409204602,0.777207843059507,1,0.0943389209355412,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,1258.99655,0,,,0.27325166862082
hb,11,LD1,2474,0.106666666666667,0.494747373686843,0.619178636937516,0.753945425093499,0.993653032440056,0.0990257886415434,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,1510.24915,0,,,0.259198051406656
hb,12,LD1,2474,0.126984126984127,0.492746373186593,0.610055027513757,0.736993496748374,0.986394557823129,0.103712656347546,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,1695.2212,0,,,0.244247123561781
hb,13,LD1,2474,0.140070035017509,0.485804861167211,0.605302651325663,0.726613306653327,0.977973568281938,0.108399524053548,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,1818.92575,0,,,0.240808445486115
hb,14,LD1,2474,0.140070035017509,0.484867433716859,0.603301650825413,0.724362181090545,0.976988494247123,0.11308639175955,1,10000,Att_mat,antiberta2-cssp,cdr3_attention_matrices_average_layers_sample_10000,1899,0,,,0.239494747373687
hb,0,LD1,2618,0,0.392403767403767,1,1,1,0.00303478822874422,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,19,12.5,,,0.607596232596233
hb,1,LD1,2618,0,0.56,0.896551724137931,1,1,0.00345135438385396,5,10000,Att_mat,esm2,t33_650M_UR50D_cdr3_attention_matrices_average_layers_sample_10000,38.7671,12.5,,,0.44
