Sample1,316188_10_consensus,316188_11_consensus,316188_12_consensus,316188_13_consensus,316188_14_consensus,316188_15_consensus,316188_16_consensus,316188_17_consensus,316188_18_consensus,316188_1_consensus,316188_2_consensus,316188_3_consensus,316188_4_consensus,316188_5_consensus,316188_6_consensus,316188_7_consensus,316188_8_consensus,316188_9_consensus,326650_10_consensus,326650_11_consensus,326650_12_consensus,326650_13_consensus,326650_14_consensus,326650_15_consensus,326650_16_consensus,326650_17_consensus,326650_18_consensus,326650_1_consensus,326650_2_consensus,326650_3_consensus,326650_4_consensus,326650_5_consensus,326650_6_consensus,326650_7_consensus,326650_8_consensus,326650_9_consensus,326651_10_consensus,326651_11_consensus,326651_12_consensus,326651_13_consensus,326651_14_consensus,326651_15_consensus,326651_16_consensus,326651_17_consensus,326651_18_consensus,326651_1_consensus,326651_2_consensus,326651_3_consensus,326651_4_consensus,326651_5_consensus,326651_6_consensus,326651_7_consensus,326651_8_consensus,326651_9_consensus,326713_10_consensus,326713_11_consensus,326713_12_consensus,326713_13_consensus,326713_14_consensus,326713_15_consensus,326713_16_consensus,326713_17_consensus,326713_18_consensus,326713_1_consensus,326713_2_consensus,326713_3_consensus,326713_4_consensus,326713_5_consensus,326713_6_consensus,326713_7_consensus,326713_8_consensus,326713_9_consensus,326737_10_consensus,326737_11_consensus,326737_12_consensus,326737_13_consensus,326737_14_consensus,326737_15_consensus,326737_16_consensus,326737_17_consensus,326737_18_consensus,326737_1_consensus,326737_2_consensus,326737_3_consensus,326737_4_consensus,326737_5_consensus,326737_6_consensus,326737_7_consensus,326737_8_consensus,326737_9_consensus,326780_10_consensus,326780_11_consensus,326780_12_consensus,326780_13_consensus,326780_14_consensus,326780_15_consensus,326780_16_consensus,326780_17_consensus,326780_18_consensus,326780_1_consensus,326780_2_consensus,326780_3_consensus,326780_4_consensus,326780_5_consensus,326780_6_consensus,326780_7_consensus,326780_8_consensus,326780_9_consensus,326797_10_consensus,326797_11_consensus,326797_12_consensus,326797_13_consensus,326797_14_consensus,326797_15_consensus,326797_16_consensus,326797_17_consensus,326797_18_consensus,326797_1_consensus,326797_2_consensus,326797_3_consensus,326797_4_consensus,326797_5_consensus,326797_6_consensus,326797_7_consensus,326797_8_consensus,326797_9_consensus,326907_10_consensus,326907_11_consensus,326907_12_consensus,326907_13_consensus,326907_14_consensus,326907_15_consensus,326907_16_consensus,326907_17_consensus,326907_18_consensus,326907_1_consensus,326907_2_consensus,326907_3_consensus,326907_4_consensus,326907_5_consensus,326907_6_consensus,326907_7_consensus,326907_8_consensus,326907_9_consensus,327059_10_consensus,327059_11_consensus,327059_12_consensus,327059_13_consensus,327059_14_consensus,327059_15_consensus,327059_16_consensus,327059_17_consensus,327059_18_consensus,327059_1_consensus,327059_2_consensus,327059_3_consensus,327059_4_consensus,327059_5_consensus,327059_6_consensus,327059_7_consensus,327059_8_consensus,327059_9_consensus,D103_10_consensus,D103_11_consensus,D103_12_consensus,D103_13_consensus,D103_14_consensus,D103_15_consensus,D103_16_consensus,D103_17_consensus,D103_18_consensus,D103_1_consensus,D103_2_consensus,D103_3_consensus,D103_4_consensus,D103_5_consensus,D103_6_consensus,D103_7_consensus,D103_8_consensus,D103_9_consensus
316188_10_consensus,0,0.00600752,0.00765825,0.00488055,0.00772274,0.00707378,0.00400067,0.00704637,0.00929676,0.0065003,0.00808903,0.00729261,0.00643911,0.0074985,0.00901038,0.00486108,0.0062912,0.00653619,0.05960934,0.05961611,0.06244687,0.06323889,0.06028297,0.06037999,0.06136221,0.05961955,0.06034675,0.06214121,0.05974743,0.0608631,0.05914303,0.05952575,0.0588998,0.06178379,0.05870972,0.05710134,0.07244496,0.07038167,0.07497034,0.08993251,0.08343364,0.08073723,0.07097099,0.06901866,0.07308189,0.09350968,0.08468084,0.08077475,0.07613177,0.07627072,0.07747906,0.09094902,0.08689479,0.0790608,0.0332572,0.03254859,0.03077139,0.03475705,0.03275631,0.03159738,0.03355106,0.03108384,0.03096464,0.03488443,0.03336424,0.03335744,0.03254366,0.03104109,0.03067599,0.03547836,0.03333225,0.03162606,0.04133369,0.04283441,0.0397178,0.04197618,0.03996383,0.03927488,0.04164317,0.04316464,0.04704169,0.04141161,0.04504599,0.04001675,0.04476158,0.05576511,0.04474455,0.04106767,0.04178555,0.04125653,0.03872535,0.03916372,0.03668504,0.04307407,0.04217321,0.04210415,0.03758419,0.0393876,0.04032246,0.043263,0.04943067,0.06708644,0.05112657,0.04654416,0.04839426,0.04162059,0.03909821,0.04904478,0.04473802,0.0453379,0.04381368,0.04311093,0.04522857,0.04405645,0.04380277,0.04451063,0.04348088,0.04704964,0.04778664,0.05024901,0.0458946,0.04603521,0.04683553,0.04538308,0.04606421,0.04574432,0.04328581,0.03995719,0.03673554,0.0372889,0.03713641,0.03619096,0.0357638,0.03682592,0.03543257,0.04919991,0.04807234,0.03984178,0.04031064,0.03981658,0.03808231,0.03872711,0.04237644,0.03949786,0.03682886,0.04019158,0.03958757,0.06196521,0.05329446,0.04581733,0.03791586,0.04636671,0.04036052,0.05663776,0.04725152,0.04027664,0.03158564,0.03848782,0.03521307,0.06119597,0.05445854,0.0448558,0.06222273,0.055261,0.06161296,0.07942592,0.05717232,0.06427227,0.05711436,0.0591977,0.05582568,0.07749157,0.05341489,0.06535987,0.05529148,0.05566472,0.05565959,0.07595604,0.05533063,0.06617472
316188_11_consensus,0.00600752,0,0.00651045,0.00514197,0.00679757,0.00637365,0.00546043,0.00679878,0.00735958,0.00584237,0.00649849,0.0070143,0.00775022,0.00720513,0.00799673,0.00547957,0.00655734,0.00706792,0.06129251,0.06152314,0.06298943,0.0655426,0.0620833,0.06164236,0.06307937,0.06059984,0.06041546,0.06527778,0.06179278,0.06227146,0.06057358,0.06132441,0.05985945,0.06348316,0.06014402,0.05932445,0.07580661,0.07393208,0.07904129,0.09654513,0.08821966,0.08528245,0.07453733,0.07237122,0.07686111,0.10031158,0.09008782,0.08607334,0.08064045,0.08032779,0.0823971,0.09725907,0.09160471,0.08408279,0.03236554,0.03165199,0.02946919,0.03602192,0.03334705,0.03124553,0.03231567,0.0307009,0.0297276,0.03586496,0.03353874,0.0329943,0.0315432,0.03032718,0.0291361,0.03680949,0.03376672,0.03120753,0.04462348,0.04676579,0.04147933,0.04792101,0.04540467,0.04288142,0.04572332,0.04586625,0.04925697,0.04748804,0.05092708,0.04487033,0.04941704,0.05698584,0.04694754,0.04727466,0.04835866,0.04663281,0.03576385,0.03832924,0.03545184,0.0429023,0.04225969,0.04117612,0.03645712,0.03837218,0.03917485,0.04272835,0.04749164,0.06528035,0.04828107,0.04505795,0.04601867,0.04113264,0.0380394,0.04454419,0.04732393,0.04806498,0.04626282,0.04466994,0.04771856,0.04668339,0.04601343,0.04618792,0.04495259,0.04924516,0.05123129,0.05376582,0.04821241,0.04884681,0.04956557,0.04754242,0.04842581,0.04856737,0.04517789,0.0449211,0.03852608,0.04015305,0.03925603,0.03837813,0.03806059,0.03825625,0.03714431,0.05266317,0.04863621,0.04423593,0.04544012,0.04465962,0.04059694,0.04296666,0.04755824,0.04413762,0.03674597,0.04135927,0.04037172,0.06547226,0.05562143,0.04721682,0.03772223,0.04694394,0.04073599,0.0607225,0.04989363,0.04184442,0.03209157,0.04001535,0.03614542,0.065283,0.05659436,0.04591,0.06828178,0.05947796,0.06767162,0.08883128,0.06027834,0.07093933,0.06152863,0.06383753,0.0596115,0.0853259,0.05712641,0.07151439,0.06063281,0.05946209,0.06043922,0.08391205,0.05937741,0.07295748
316188_12_consensus,0.00765825,0.00651045,0,0.00653412,0.00705626,0.00696512,0.00751907,0.00816851,0.00741391,0.00829215,0.00809374,0.00803743,0.01027344,0.00863368,0.00757705,0.00691695,0.00715003,0.00780747,0.05812542,0.05942298,0.05977681,0.06551463,0.06006621,0.05945671,0.06005201,0.05859092,0.05738644,0.06578167,0.060519,0.06075173,0.05827598,0.05977234,0.05737339,0.06363821,0.05787187,0.05698617,0.08106053,0.07940095,0.0846407,0.10372984,0.09450099,0.09163664,0.07936555,0.07726148,0.08237813,0.10764681,0.0968213,0.09245398,0.08637241,0.08604142,0.08857504,0.10436726,0.09801981,0.09008352,0.03342515,0.03346818,0.03096862,0.03937602,0.03611879,0.03352778,0.03329574,0.03234941,0.03100959,0.03903668,0.03647634,0.0351881,0.03222387,0.03182832,0.03023032,0.04035571,0.03691472,0.0332596,0.04326042,0.04483519,0.03888072,0.04794485,0.04572894,0.04142432,0.04408627,0.04449936,0.0488963,0.04769204,0.05187658,0.04464828,0.04764769,0.05563857,0.04538233,0.04797976,0.04910253,0.04584465,0.03234433,0.03641682,0.03319451,0.0423747,0.04130451,0.03983694,0.03399683,0.03707512,0.03739005,0.04088617,0.04475281,0.06288529,0.04401341,0.04285951,0.04309426,0.04016684,0.03644295,0.04016143,0.0456158,0.04697256,0.04448605,0.04239178,0.04641604,0.0457691,0.0438079,0.045492,0.04350114,0.04770872,0.0506894,0.05367506,0.04683564,0.04853699,0.04822041,0.04506175,0.04771037,0.04805386,0.04678951,0.04371402,0.03861406,0.04000582,0.04001646,0.03862192,0.03881493,0.03842884,0.0369029,0.05351505,0.05016098,0.04352397,0.04526489,0.04326538,0.04007594,0.04282775,0.04663335,0.04330659,0.03790965,0.0436351,0.04201205,0.0698745,0.05896665,0.04946098,0.03869237,0.04919045,0.04240995,0.06499708,0.05278884,0.04347822,0.03252149,0.04116405,0.03670914,0.06972874,0.06011428,0.0482963,0.06741331,0.05848516,0.06729178,0.09040086,0.05803962,0.07067908,0.06017773,0.06222108,0.05805524,0.08760443,0.05535708,0.07182407,0.05878038,0.05741854,0.05897125,0.08625137,0.0582436,0.07337767
316188_13_consensus,0.00488055,0.00514197,0.00653412,0,0.0070905,0.00633782,0.0044782,0.00636327,0.00744117,0.00535812,0.00677388,0.00675579,0.00629918,0.00681192,0.00780142,0.00483695,0.00641174,0.00652702,0.0585909,0.05887971,0.06056339,0.06211622,0.0594024,0.0590695,0.06019083,0.05803202,0.05825123,0.06148724,0.05886091,0.05961642,0.05781953,0.05846375,0.05720168,0.06039002,0.05761024,0.05639899,0.07185076,0.06993262,0.07474121,0.09125358,0.08358345,0.08073588,0.0705868,0.06819364,0.07263238,0.09491389,0.08520552,0.08122332,0.07619548,0.07581156,0.07772696,0.09197843,0.08709764,0.07933933,0.03073468,0.03010708,0.02822655,0.03376912,0.03126624,0.02953107,0.03088116,0.02899793,0.02836807,0.03370636,0.03168188,0.03141758,0.0300688,0.02879527,0.02810214,0.03458569,0.03179191,0.02952246,0.04268469,0.0444797,0.0398018,0.04500876,0.04256468,0.04078808,0.04343678,0.04404886,0.04729465,0.04481406,0.04782205,0.04239069,0.0472785,0.05598519,0.04521159,0.04427601,0.04543519,0.04430973,0.03514186,0.0372891,0.0342713,0.04110577,0.04049671,0.03974828,0.03526139,0.0370326,0.03779984,0.0410342,0.04670741,0.0648446,0.0479815,0.04382789,0.04533228,0.03968536,0.03667479,0.04441622,0.04471411,0.04539232,0.04375385,0.04260972,0.04501223,0.04387332,0.04363092,0.0437679,0.04267779,0.04674389,0.04825867,0.05050224,0.04574247,0.04589486,0.04706742,0.04517963,0.04564756,0.04570547,0.04266665,0.04131532,0.03558218,0.0369429,0.03611779,0.0352643,0.03486607,0.03548202,0.0341731,0.049478,0.04635171,0.04072999,0.04193486,0.04097087,0.03717795,0.03955049,0.04380795,0.04055265,0.03502181,0.03946789,0.03837087,0.06241036,0.05312736,0.04506397,0.03586993,0.04517992,0.0388438,0.05765177,0.04737033,0.03975425,0.03040621,0.03796436,0.0343061,0.06206004,0.0541705,0.04388124,0.06486797,0.05663752,0.06409765,0.08386635,0.05747425,0.06704928,0.05859344,0.06105708,0.05702944,0.08074076,0.05465274,0.06777457,0.05732973,0.05674649,0.0571236,0.07921308,0.05641519,0.06922089
316188_14_consensus,0.00772274,0.00679757,0.00705626,0.0070905,0,0.00691206,0.00727288,0.00860557,0.00777557,0.00818861,0.00735225,0.00736406,0.01007694,0.00832329,0.0080359,0.0068523,0.00771248,0.0083497,0.05980212,0.06080974,0.0614429,0.06571959,0.06101463,0.06032848,0.06123811,0.05943087,0.05939468,0.06602396,0.06122797,0.06120569,0.05983751,0.06063821,0.05888182,0.063854,0.05901367,0.05884156,0.07939363,0.07759966,0.08247822,0.10113309,0.092562,0.08942835,0.07786177,0.07548926,0.08070135,0.10523098,0.09500036,0.09023981,0.08436241,0.08448659,0.0865498,0.1022022,0.09553624,0.08799451,0.03592424,0.03563071,0.03292496,0.04129868,0.03808763,0.03527459,0.03601464,0.03421904,0.03315008,0.04080432,0.03764999,0.03691614,0.03476113,0.03391526,0.03222996,0.0418011,0.03826779,0.0351161,0.04367448,0.04551176,0.04026673,0.04798875,0.04620038,0.04225027,0.0445263,0.04413243,0.04841089,0.04787754,0.05122944,0.04485587,0.04790296,0.05519111,0.04629818,0.04819444,0.04889186,0.04603852,0.03468293,0.03864181,0.03489721,0.04388944,0.04284011,0.04103225,0.03578911,0.03863603,0.03908491,0.04255684,0.04691074,0.0651954,0.04647893,0.04485834,0.04576716,0.04168742,0.03819694,0.0437061,0.04616684,0.04747502,0.04516892,0.04286118,0.04674792,0.04582893,0.04458541,0.04497353,0.04381771,0.04754928,0.05082834,0.05314268,0.04682437,0.04858446,0.0484951,0.04550995,0.04801534,0.04807542,0.04733856,0.04592927,0.03890159,0.04097594,0.04062505,0.03931406,0.04001546,0.0396283,0.0380344,0.05484998,0.05086822,0.04481902,0.04699231,0.04627212,0.04140861,0.04392992,0.04896445,0.04508662,0.03967121,0.04505931,0.04412515,0.07000833,0.05939523,0.05052926,0.04060266,0.04993244,0.04416171,0.06517966,0.05379803,0.04517812,0.03509303,0.04306429,0.03901983,0.06991231,0.06068328,0.04967502,0.06682246,0.05886962,0.06654088,0.0890826,0.05904856,0.07042732,0.06023003,0.06097293,0.05816772,0.08537371,0.05549079,0.07044831,0.05952488,0.05728786,0.05945151,0.08444781,0.05811849,0.07212702
316188_15_consensus,0.00707378,0.00637365,0.00696512,0.00633782,0.00691206,0,0.00671005,0.00784808,0.00790536,0.00717588,0.00768403,0.00631709,0.00919098,0.00748517,0.00708886,0.00634883,0.00712205,0.00685215,0.06444539,0.06558906,0.06646667,0.07095383,0.06625599,0.06546368,0.06635626,0.06472002,0.06433269,0.07064982,0.06625826,0.06656592,0.06456616,0.06552671,0.06364818,0.06911578,0.06418519,0.06306691,0.08385559,0.0821688,0.08706887,0.10542175,0.09697944,0.09372178,0.08233513,0.07997957,0.0849356,0.10923993,0.09909192,0.09429867,0.08884527,0.0884433,0.090477,0.10627714,0.10027455,0.09223651,0.03682765,0.03701212,0.03475865,0.04189039,0.03928653,0.03680818,0.03700765,0.03549583,0.03484005,0.04183997,0.03934873,0.03832192,0.03566921,0.03538571,0.03417537,0.04294346,0.03978536,0.0364791,0.04762238,0.04914169,0.04378945,0.05159214,0.0497434,0.04611978,0.04883383,0.04903001,0.0533638,0.05132425,0.05552783,0.04875885,0.05185755,0.06066299,0.05051005,0.05171515,0.05261435,0.04986169,0.03588362,0.03960844,0.03648191,0.04447899,0.04375695,0.04204822,0.03681083,0.03939279,0.04020177,0.04333,0.04748036,0.06600651,0.04745399,0.04533387,0.04613991,0.04293958,0.03922768,0.0438861,0.0493737,0.05053464,0.04832873,0.04646828,0.05058625,0.04921897,0.04833814,0.04884121,0.0474282,0.05128214,0.05392756,0.05626903,0.05041171,0.05174382,0.05162614,0.04917054,0.05150417,0.05128741,0.0490923,0.04640651,0.04086136,0.04261152,0.04239301,0.04138229,0.04151497,0.04130907,0.03939734,0.05550441,0.05220375,0.04615583,0.04786656,0.04631329,0.04302936,0.04487489,0.04958304,0.04571113,0.04191361,0.04722464,0.04594567,0.07247069,0.06181273,0.05302502,0.04295443,0.05260875,0.04618571,0.06786318,0.0561374,0.04745643,0.03675137,0.04526248,0.04075775,0.07218113,0.06315645,0.05194684,0.07029144,0.06184756,0.07002337,0.09283132,0.06213659,0.0739972,0.0635182,0.06510857,0.06141383,0.09004294,0.05845374,0.07452119,0.06246789,0.06081193,0.06272202,0.08882217,0.06165147,0.07606201
316188_16_consensus,0.00400067,0.00546043,0.00751907,0.0044782,0.00727288,0.00671005,0,0.0065379,0.00791342,0.00542195,0.00702115,0.00639997,0.00527528,0.00659435,0.00831411,0.00514242,0.0061772,0.0065244,0.06164244,0.06149952,0.06389562,0.06415022,0.06230717,0.0623284,0.06348516,0.0609356,0.06138071,0.0630206,0.06117515,0.06238343,0.06076902,0.0608638,0.06052326,0.06240925,0.06040552,0.05921992,0.07112537,0.06926358,0.07363188,0.08866289,0.08205843,0.07932845,0.0698313,0.0677039,0.07161126,0.09232277,0.08342441,0.07951121,0.07495765,0.07483074,0.07611199,0.08968537,0.08544704,0.07798016,0.03154066,0.03066718,0.02878901,0.03288574,0.03079028,0.02962986,0.03160849,0.02916414,0.02909615,0.03310316,0.03122012,0.03132301,0.03091648,0.02917145,0.02895598,0.03354166,0.03137947,0.02975373,0.04386319,0.04551055,0.04181875,0.04448152,0.0425939,0.04177157,0.04452226,0.04476842,0.04827309,0.04449807,0.04719448,0.04264488,0.04788502,0.05709243,0.04630833,0.04379624,0.04469846,0.04461081,0.04002444,0.04096403,0.03796117,0.0441539,0.04370347,0.04323178,0.03912577,0.04038458,0.04147083,0.04475924,0.05107049,0.06846232,0.05315336,0.04787712,0.04983978,0.04298371,0.04023276,0.04966461,0.04772228,0.0481234,0.04669645,0.0458371,0.04797707,0.04637984,0.04690893,0.046575,0.04567475,0.05022601,0.05053643,0.05263994,0.04886379,0.04829839,0.04990772,0.04846759,0.04849503,0.04838011,0.04335987,0.04285195,0.03684018,0.03841801,0.03715167,0.03678384,0.03605729,0.03692957,0.03572749,0.04935199,0.0478345,0.04211506,0.04297169,0.04250231,0.0386652,0.04057726,0.04533513,0.04182709,0.03595915,0.03920336,0.03859566,0.06073034,0.05219901,0.04471797,0.036693,0.04506034,0.03931423,0.05597188,0.04671006,0.03972084,0.031216,0.03832913,0.03505067,0.06016973,0.05341447,0.04362808,0.06518478,0.05744641,0.0641395,0.08271951,0.05914543,0.06708453,0.05951293,0.06151811,0.05825254,0.07933404,0.05613035,0.06783145,0.05856325,0.05822894,0.05822831,0.07801661,0.0575073,0.06894085
316188_17_consensus,0.00704637,0.00679878,0.00816851,0.00636327,0.00860557,0.00784808,0.0065379,0,0.00915499,0.0078485,0.00810567,0.00774495,0.0086572,0.00767057,0.00844695,0.00758485,0.00798613,0.00767127,0.06392895,0.0647556,0.06594429,0.06897686,0.06507413,0.06422187,0.06561689,0.06314361,0.06310536,0.06927083,0.06523144,0.06539218,0.06356854,0.0643035,0.06268165,0.06715416,0.06318913,0.06174962,0.0787932,0.07650893,0.08181703,0.09904796,0.09070812,0.08813004,0.07694953,0.07517527,0.07939901,0.10284995,0.09271843,0.08892119,0.08338961,0.08307274,0.08540777,0.09990926,0.09431654,0.08669989,0.03715597,0.03649703,0.03405863,0.04092998,0.03785708,0.0358542,0.03717743,0.03508073,0.03376461,0.04086355,0.03803607,0.03773034,0.03607758,0.03499475,0.03369703,0.04154554,0.03834377,0.0356446,0.04705762,0.04851992,0.04256725,0.05002019,0.04714856,0.0452209,0.04751998,0.04786955,0.05017454,0.05018439,0.05315842,0.04744247,0.05071742,0.05906861,0.04813145,0.04937648,0.0506291,0.0481711,0.03725157,0.04093034,0.03741565,0.0460681,0.04517537,0.04415495,0.03880883,0.04133085,0.04167544,0.0450145,0.05025957,0.06757947,0.05073919,0.04776985,0.04878147,0.04397786,0.04042302,0.04621772,0.04891013,0.05036532,0.04791873,0.046249,0.04955704,0.04920667,0.04760353,0.04847543,0.04684965,0.05072986,0.0531898,0.05560316,0.05023095,0.05093362,0.05166254,0.04874248,0.05018481,0.05046889,0.05067197,0.04850207,0.04238733,0.04388074,0.04361086,0.04192157,0.04235698,0.04264574,0.04039444,0.05787624,0.05494965,0.04807957,0.04997166,0.04823857,0.04375688,0.046984,0.05120323,0.04796512,0.04317283,0.04803544,0.04671265,0.07282734,0.062931,0.0539144,0.04391435,0.05388131,0.04723402,0.06796101,0.05752447,0.04849433,0.03745312,0.04650206,0.04275839,0.07227159,0.06409098,0.0527738,0.07272163,0.06339156,0.07178607,0.09346852,0.06435185,0.07533237,0.06603609,0.06731214,0.06367417,0.09006139,0.0608889,0.07572681,0.0648234,0.06373532,0.06443718,0.0884505,0.0635117,0.07718814
316188_18_consensus,0.00929676,0.00735958,0.00741391,0.00744117,0.00777557,0.00790536,0.00791342,0.00915499,0,0.00860227,0.00742761,0.00841074,0.00982735,0.0087845,0.00820536,0.00861264,0.00905346,0.00898201,0.05910547,0.05987948,0.0605125,0.06430422,0.06027455,0.05945798,0.0604282,0.05813258,0.0575,0.06523705,0.06058737,0.0604234,0.05901986,0.05954634,0.05783521,0.0629101,0.05848952,0.05811496,0.07605132,0.07462099,0.07951832,0.09831746,0.08909087,0.08622171,0.07440493,0.07249377,0.07736435,0.10227243,0.09161477,0.08730221,0.08136258,0.08108941,0.08373949,0.09866905,0.09215582,0.08500229,0.03492269,0.03434783,0.0317138,0.04024808,0.03673924,0.03405058,0.03515306,0.0334466,0.03178063,0.03969636,0.03612254,0.03556711,0.03392753,0.0329302,0.03096391,0.04090275,0.03707684,0.03407179,0.04417103,0.04678726,0.04058483,0.04905636,0.04714651,0.04300796,0.04587035,0.04487732,0.04759941,0.04948808,0.05181329,0.04596,0.04935569,0.05433298,0.046001,0.04917848,0.0504784,0.04793613,0.03582674,0.04082719,0.03684463,0.04654159,0.04594201,0.04436945,0.0379861,0.04099832,0.04147701,0.04565973,0.05029204,0.06824383,0.04970735,0.04799223,0.04860142,0.04435591,0.04035632,0.04490598,0.04926375,0.05058605,0.04801474,0.04582379,0.04964077,0.04856495,0.04720155,0.04734558,0.04619222,0.05116074,0.05431741,0.05677364,0.05034182,0.05177266,0.05178737,0.04852032,0.0504711,0.05096057,0.0503558,0.04979371,0.04087934,0.04401328,0.04307533,0.04156539,0.04241228,0.04206403,0.03990998,0.05665491,0.053847,0.04890538,0.05145383,0.04945327,0.04359382,0.04752783,0.05316449,0.04965243,0.04005986,0.04534186,0.04405696,0.07102087,0.06069336,0.05131974,0.04083139,0.05080914,0.04419968,0.06621753,0.05519247,0.0459702,0.0358003,0.04425651,0.04002075,0.07082714,0.06154551,0.04992889,0.07133401,0.0625134,0.07110219,0.09412373,0.06286309,0.07464854,0.06462136,0.06566528,0.06276863,0.08965694,0.06003264,0.0752183,0.06441987,0.06149501,0.06355169,0.08848611,0.06234383,0.07667369
316188_1_consensus,0.0065003,0.00584237,0.00829215,0.00535812,0.00818861,0.00717588,0.00542195,0.0078485,0.00860227,0,0.00782828,0.00755754,0.00741837,0.0081933,0.00916387,0.00584387,0.0074098,0.00792078,0.06436897,0.06422243,0.06648367,0.06741196,0.06516008,0.06487597,0.0663859,0.06354092,0.06406258,0.06646203,0.06403697,0.0649308,0.06365656,0.06382684,0.06279202,0.06568689,0.06311932,0.06215172,0.07492561,0.07344093,0.07778302,0.09419014,0.08681627,0.08379385,0.07408961,0.07152773,0.07567963,0.09767737,0.08823519,0.08407628,0.07944949,0.0789394,0.08048284,0.09490395,0.09006162,0.08243423,0.03341713,0.03300843,0.03102669,0.0360456,0.03382614,0.03213722,0.03350368,0.03177701,0.03131218,0.0362719,0.03441195,0.0340233,0.03282281,0.03152008,0.03094739,0.03719664,0.03466617,0.03224665,0.04728516,0.0490751,0.04431958,0.04927698,0.04722865,0.04526027,0.04813661,0.04810933,0.05180367,0.0488831,0.05237498,0.04660121,0.05207733,0.06044338,0.04986799,0.048708,0.04974018,0.04905354,0.03894077,0.04101212,0.03816945,0.04416375,0.04387571,0.04288901,0.03870576,0.04015223,0.04116053,0.04471971,0.04990476,0.06801401,0.05166819,0.04701564,0.04847169,0.04303896,0.04019382,0.04723634,0.04974489,0.05006873,0.04871326,0.04756743,0.05024821,0.04853179,0.04881072,0.04833512,0.04757754,0.05184185,0.05300056,0.05511867,0.05065907,0.05047256,0.05186926,0.05040725,0.0506716,0.05049744,0.0451679,0.0447038,0.03821331,0.04006061,0.03890071,0.03832091,0.03774095,0.03833935,0.0370005,0.05156246,0.04803164,0.04413325,0.0448641,0.04421211,0.04043536,0.0422135,0.04718564,0.04353864,0.03725619,0.04152381,0.04058014,0.06419396,0.05491178,0.04697738,0.03827039,0.04693732,0.04101857,0.05976943,0.04939452,0.04182436,0.03287348,0.04045764,0.03667463,0.06395855,0.05606085,0.04576585,0.06933129,0.06063971,0.06831072,0.088468,0.06181345,0.07105842,0.06275453,0.065229,0.06159628,0.08519985,0.05886834,0.07226265,0.06187767,0.06129348,0.06154546,0.08370357,0.0607747,0.07373384
