Sample1,316188_10_consensus,316188_11_consensus,316188_12_consensus,316188_13_consensus,316188_14_consensus,316188_15_consensus,316188_16_consensus,316188_17_consensus,316188_18_consensus,316188_1_consensus,316188_2_consensus,316188_3_consensus,316188_4_consensus,316188_5_consensus,316188_6_consensus,316188_7_consensus,316188_8_consensus,316188_9_consensus,326650_10_consensus,326650_11_consensus,326650_12_consensus,326650_13_consensus,326650_14_consensus,326650_15_consensus,326650_16_consensus,326650_17_consensus,326650_18_consensus,326650_1_consensus,326650_2_consensus,326650_3_consensus,326650_4_consensus,326650_5_consensus,326650_6_consensus,326650_7_consensus,326650_8_consensus,326650_9_consensus,326651_10_consensus,326651_11_consensus,326651_12_consensus,326651_13_consensus,326651_14_consensus,326651_15_consensus,326651_16_consensus,326651_17_consensus,326651_18_consensus,326651_1_consensus,326651_2_consensus,326651_3_consensus,326651_4_consensus,326651_5_consensus,326651_6_consensus,326651_7_consensus,326651_8_consensus,326651_9_consensus,326713_10_consensus,326713_11_consensus,326713_12_consensus,326713_13_consensus,326713_14_consensus,326713_15_consensus,326713_16_consensus,326713_17_consensus,326713_18_consensus,326713_1_consensus,326713_2_consensus,326713_3_consensus,326713_4_consensus,326713_5_consensus,326713_6_consensus,326713_7_consensus,326713_8_consensus,326713_9_consensus,326737_10_consensus,326737_11_consensus,326737_12_consensus,326737_13_consensus,326737_14_consensus,326737_15_consensus,326737_16_consensus,326737_17_consensus,326737_18_consensus,326737_1_consensus,326737_2_consensus,326737_3_consensus,326737_4_consensus,326737_5_consensus,326737_6_consensus,326737_7_consensus,326737_8_consensus,326737_9_consensus,326780_10_consensus,326780_11_consensus,326780_12_consensus,326780_13_consensus,326780_14_consensus,326780_15_consensus,326780_16_consensus,326780_17_consensus,326780_18_consensus,326780_1_consensus,326780_2_consensus,326780_3_consensus,326780_4_consensus,326780_5_consensus,326780_6_consensus,326780_7_consensus,326780_8_consensus,326780_9_consensus,326797_10_consensus,326797_11_consensus,326797_12_consensus,326797_13_consensus,326797_14_consensus,326797_15_consensus,326797_16_consensus,326797_17_consensus,326797_18_consensus,326797_1_consensus,326797_2_consensus,326797_3_consensus,326797_4_consensus,326797_5_consensus,326797_6_consensus,326797_7_consensus,326797_8_consensus,326797_9_consensus,326907_10_consensus,326907_11_consensus,326907_12_consensus,326907_13_consensus,326907_14_consensus,326907_15_consensus,326907_16_consensus,326907_17_consensus,326907_18_consensus,326907_1_consensus,326907_2_consensus,326907_3_consensus,326907_4_consensus,326907_5_consensus,326907_6_consensus,326907_7_consensus,326907_8_consensus,326907_9_consensus,327059_10_consensus,327059_11_consensus,327059_12_consensus,327059_13_consensus,327059_14_consensus,327059_15_consensus,327059_16_consensus,327059_17_consensus,327059_18_consensus,327059_1_consensus,327059_2_consensus,327059_3_consensus,327059_4_consensus,327059_5_consensus,327059_6_consensus,327059_7_consensus,327059_8_consensus,327059_9_consensus,D103_10_consensus,D103_11_consensus,D103_12_consensus,D103_13_consensus,D103_14_consensus,D103_15_consensus,D103_16_consensus,D103_17_consensus,D103_18_consensus,D103_1_consensus,D103_2_consensus,D103_3_consensus,D103_4_consensus,D103_5_consensus,D103_6_consensus,D103_7_consensus,D103_8_consensus,D103_9_consensus
316188_10_consensus,0.0,0.00605265,0.00803782,0.00492023,0.00760047,0.00731036,0.0041732,0.00696208,0.00897528,0.0060836,0.00800478,0.00744646,0.00648432,0.00701199,0.0086944,0.0046934,0.00662924,0.00691598,0.06170096,0.06183592,0.0641376,0.06405671,0.06185456,0.06152872,0.06346846,0.06146672,0.06266233,0.06140455,0.06144323,0.06254122,0.06123957,0.06153188,0.0600005,0.06318246,0.05997529,0.05876681,0.07560835,0.07408449,0.07882754,0.09445485,0.08740049,0.08340788,0.07474842,0.07117062,0.07668737,0.09786278,0.08895624,0.08429968,0.08021469,0.07837467,0.07970635,0.09492041,0.0905404,0.08266644,0.03374062,0.03191166,0.03163338,0.03202666,0.03073511,0.03091358,0.03383659,0.03019197,0.03071375,0.03261692,0.03151779,0.03145341,0.0340938,0.03106987,0.03151176,0.03315982,0.0312253,0.03089152,0.04281787,0.04431186,0.04146715,0.04419015,0.0418628,0.04072408,0.04291687,0.04476778,0.04914806,0.04451804,0.04785723,0.04267949,0.04720554,0.05687639,0.04623634,0.04331323,0.04467792,0.04251012,0.04234596,0.04153196,0.03903561,0.04714148,0.04449569,0.04568751,0.04071245,0.04274121,0.04430253,0.04683421,0.05668526,0.07705203,0.0580531,0.05374527,0.05543083,0.04475896,0.0424977,0.05394889,0.04649666,0.04721315,0.04516332,0.04543261,0.04659236,0.04632914,0.04509503,0.04684599,0.04643729,0.048924,0.05057605,0.05371501,0.04798421,0.0481774,0.04801183,0.04745995,0.04761325,0.04751933,0.0445028,0.04177253,0.03894807,0.04021783,0.03840748,0.03801027,0.03744495,0.04021251,0.03833171,0.04865693,0.04931287,0.04180656,0.04053287,0.04123328,0.04068734,0.04041205,0.04416767,0.04128621,0.03454632,0.03754821,0.03700266,0.05943478,0.04979233,0.04335249,0.03535556,0.04456485,0.03809786,0.05376851,0.043537,0.03861033,0.03083101,0.03698117,0.03276852,0.05898968,0.05077954,0.04152197,0.06183332,0.05782036,0.06092233,0.07460944,0.06000104,0.06291298,0.05932014,0.06203542,0.05827379,0.07408495,0.05780429,0.06420658,0.05629397,0.05938635,0.05687562,0.07291691,0.05938181,0.06604899
316188_11_consensus,0.00605265,0.0,0.00678347,0.00543337,0.0066504,0.00635021,0.00547996,0.00699228,0.0069348,0.00589146,0.0068758,0.00679908,0.00926236,0.00734629,0.00803824,0.00564637,0.00632676,0.00693199,0.06360316,0.06414088,0.06548064,0.06641746,0.06403807,0.06329474,0.06554287,0.0625666,0.06327548,0.06478793,0.06364745,0.0642178,0.0630768,0.06317275,0.06100538,0.06521893,0.06150755,0.06123471,0.08097539,0.07938091,0.08463766,0.10298282,0.09455639,0.08992581,0.07998591,0.07651898,0.082154,0.10694576,0.0965627,0.09189096,0.08676621,0.08456324,0.08676786,0.10316255,0.09762388,0.08967105,0.031431,0.03004854,0.02929579,0.03227857,0.03046228,0.02989175,0.03133234,0.02891481,0.02876876,0.03275072,0.03134521,0.0306038,0.03138366,0.0295039,0.02924789,0.03340701,0.0309567,0.02977204,0.04742898,0.04940689,0.04298511,0.05119271,0.04819835,0.04481126,0.04754688,0.04802868,0.05241918,0.051845,0.05518196,0.04883384,0.0525701,0.05939257,0.04902727,0.05005687,0.05211844,0.04854547,0.03758087,0.03815847,0.03530634,0.04329903,0.04152936,0.04190984,0.03703237,0.03866786,0.03984819,0.04285592,0.05094993,0.06939807,0.05167982,0.04841476,0.04930266,0.04078244,0.03842876,0.04736655,0.04736677,0.04830746,0.04615447,0.04531079,0.04749944,0.0475679,0.04596776,0.04725656,0.04654027,0.04946924,0.05168224,0.05488933,0.04845473,0.04888712,0.04840657,0.04790074,0.04827788,0.04890609,0.04542843,0.0466811,0.0405923,0.04172317,0.04026786,0.03990961,0.03853024,0.04033607,0.03936026,0.05105561,0.0494012,0.04511185,0.04451029,0.04508307,0.04289483,0.04419261,0.04831785,0.04491533,0.03649233,0.04104691,0.03969216,0.06637224,0.05525174,0.04729039,0.03717712,0.04814464,0.04100887,0.06030189,0.04835308,0.04242392,0.03236422,0.04045604,0.0352362,0.06615929,0.05620204,0.04500285,0.06679634,0.06084323,0.06597208,0.08312354,0.06117767,0.06893607,0.06295875,0.06495415,0.06073164,0.08091065,0.05998186,0.06983381,0.06008214,0.06217595,0.06036294,0.07987989,0.06206174,0.07233496
316188_12_consensus,0.00803782,0.00678347,0.0,0.0070568,0.00713381,0.00726615,0.00772691,0.0080544,0.00766263,0.00852357,0.00842904,0.00831159,0.01127792,0.00837123,0.00734295,0.00712059,0.00694646,0.00752741,0.06034225,0.06191789,0.06212126,0.06658932,0.06184958,0.06072437,0.06192845,0.0605508,0.05986314,0.06585294,0.06234418,0.06259725,0.06072762,0.06177922,0.05858493,0.06541566,0.05946389,0.05834533,0.08616533,0.0844761,0.09007516,0.10999706,0.10079347,0.09613252,0.08478806,0.08126551,0.08764955,0.11418043,0.10305275,0.09821019,0.09238979,0.09008601,0.09276243,0.11029609,0.10376635,0.09576088,0.03224289,0.03155569,0.03037085,0.03513495,0.03297781,0.03168133,0.03206338,0.02997275,0.02939886,0.03568444,0.03385841,0.03248891,0.03185584,0.03066741,0.02982807,0.03642076,0.03350384,0.03124956,0.04612697,0.04746912,0.04044216,0.05147292,0.04847336,0.04388702,0.04628609,0.04685393,0.051653,0.05257369,0.05642931,0.04893697,0.05061957,0.05802131,0.04727437,0.05118219,0.0532208,0.04788607,0.03285195,0.03543172,0.03244558,0.04258707,0.04041522,0.04005156,0.03400794,0.03686993,0.0377273,0.0406004,0.04802127,0.06668411,0.04697732,0.04606391,0.04609712,0.03977179,0.03627647,0.04216497,0.04547457,0.04765466,0.04459138,0.04287662,0.04641185,0.0469578,0.04370116,0.04655612,0.04520365,0.04776782,0.05135919,0.05537573,0.04721739,0.04904757,0.04744047,0.04544369,0.04771407,0.04840865,0.04738968,0.0453342,0.04086987,0.04177108,0.04097838,0.04055214,0.03978586,0.04092073,0.0391671,0.0531395,0.05123294,0.04456147,0.04460605,0.0438521,0.04237949,0.04428541,0.04738036,0.04410624,0.03731626,0.04308118,0.04117283,0.07097797,0.05875904,0.04951477,0.03808471,0.05023522,0.04256076,0.0647763,0.05150096,0.04401601,0.03210436,0.04157075,0.0356372,0.07083375,0.05983873,0.04731704,0.06572037,0.05904422,0.06543309,0.08460903,0.05889119,0.06839769,0.06161073,0.06294904,0.05879138,0.08331715,0.05793136,0.06964274,0.05800668,0.05968965,0.05901224,0.08235048,0.06043762,0.07258278
316188_13_consensus,0.00492023,0.00543337,0.0070568,0.0,0.00647044,0.00619283,0.0045028,0.00616572,0.0071554,0.0050876,0.00700048,0.00636629,0.00744645,0.00704471,0.0074391,0.00475595,0.00624034,0.00607796,0.06146396,0.0622196,0.06340002,0.06383094,0.06199375,0.06097078,0.06327942,0.06087142,0.06144236,0.06179004,0.06129882,0.06204104,0.06082754,0.06102945,0.05888918,0.06281539,0.05973262,0.05895977,0.07758592,0.07598529,0.08101016,0.09846316,0.09059747,0.08605407,0.07664797,0.07295296,0.07875387,0.1021108,0.09231566,0.08769241,0.08287627,0.08069926,0.08262985,0.09875515,0.09365916,0.08560926,0.0309383,0.02951465,0.02911498,0.0309313,0.02952543,0.02924439,0.03107251,0.02814725,0.02847979,0.03165501,0.03053208,0.03024149,0.03112421,0.02889056,0.02897539,0.03221755,0.03020866,0.02902989,0.04532347,0.04693211,0.04175951,0.04849663,0.04535879,0.04303561,0.04557672,0.0463569,0.05060712,0.04930517,0.05207176,0.0464198,0.05063799,0.05850428,0.04795168,0.04728366,0.04925429,0.04619006,0.03720196,0.03746114,0.03464684,0.04242375,0.0405659,0.04132451,0.03624529,0.03814179,0.03959491,0.04201584,0.05062369,0.06996456,0.05193556,0.04803697,0.04919984,0.04027844,0.03784666,0.0473053,0.04539893,0.0461707,0.04426944,0.0438675,0.0454651,0.045365,0.0440661,0.04534578,0.04470083,0.0474535,0.04935648,0.05217935,0.04646875,0.04669976,0.04667244,0.04605182,0.04613393,0.04642468,0.04335161,0.04322317,0.03784345,0.03909727,0.03732374,0.03730174,0.03621927,0.03828512,0.0367903,0.04820428,0.04733777,0.04220552,0.0415721,0.04203294,0.03972591,0.04094051,0.04502851,0.04190579,0.03469901,0.0391754,0.03800276,0.0636489,0.0528104,0.04530279,0.03584361,0.04654537,0.03943572,0.05762577,0.04620842,0.04034457,0.03077047,0.03852602,0.03353587,0.0632576,0.05385719,0.04318148,0.06418224,0.05862438,0.06306887,0.07924588,0.05962249,0.06576446,0.06059411,0.0628158,0.05882721,0.07771563,0.05835232,0.06711857,0.05758459,0.05971793,0.05810784,0.0764943,0.05999816,0.06956145
316188_14_consensus,0.00760047,0.0066504,0.00713381,0.00647044,0.0,0.00679018,0.00737518,0.00764484,0.00788497,0.00764363,0.00690079,0.00758592,0.00992092,0.0081848,0.00733934,0.00668896,0.00681131,0.00714745,0.06150877,0.06250301,0.06316372,0.06589332,0.06236591,0.06143717,0.06269785,0.0606883,0.06118394,0.06515579,0.06260181,0.06274241,0.06159226,0.06184972,0.05939421,0.06483304,0.05997813,0.0594618,0.0838454,0.08198449,0.08735401,0.10695874,0.09798141,0.09332718,0.08250362,0.07907191,0.08510908,0.11106629,0.10035461,0.09543562,0.0898501,0.08779378,0.09021144,0.10719738,0.10093931,0.09297831,0.03353496,0.03234117,0.03095745,0.03549903,0.03354417,0.03156623,0.03324359,0.03101973,0.03018518,0.03603174,0.03402094,0.0331104,0.03330111,0.03156588,0.03042049,0.03668057,0.03385844,0.03200375,0.04606061,0.04796418,0.04092606,0.05108754,0.04855722,0.04404355,0.04637949,0.04697124,0.05176686,0.05210026,0.05539088,0.04827864,0.05111273,0.05762156,0.04767454,0.05042955,0.05259074,0.04789074,0.03539303,0.03671452,0.03417435,0.04358669,0.04112416,0.04109449,0.03540801,0.0381276,0.03902806,0.04222721,0.05005362,0.06832663,0.04931444,0.0476499,0.04806246,0.04078652,0.03771981,0.04521032,0.04564761,0.04732227,0.04428976,0.04311772,0.04604269,0.04630013,0.04397247,0.04583372,0.0447927,0.04695998,0.05052317,0.05380619,0.04685081,0.04810071,0.04691306,0.04573654,0.04707674,0.04738528,0.04714594,0.04698402,0.04136913,0.04219825,0.04145054,0.04066055,0.03986234,0.04123724,0.04004317,0.05324275,0.05125116,0.04580411,0.04540756,0.04576414,0.04317776,0.045414,0.04893367,0.04524206,0.03729144,0.04303119,0.04166279,0.0701987,0.05803559,0.04968832,0.03881795,0.05000843,0.04310957,0.0640155,0.05128531,0.04374268,0.03310663,0.04222505,0.03672728,0.0698137,0.05893467,0.04704862,0.06564294,0.05965382,0.0648914,0.08401389,0.05905868,0.06788033,0.06167874,0.0623091,0.05922632,0.08202948,0.05715781,0.06893267,0.05837509,0.05927178,0.05958332,0.0806545,0.06020016,0.07210802
316188_15_consensus,0.00731036,0.00635021,0.00726615,0.00619283,0.00679018,0.0,0.00716291,0.0075696,0.00834613,0.00708433,0.00811988,0.0069404,0.009667,0.00788977,0.00681261,0.0064005,0.0068763,0.00630903,0.06434256,0.06566388,0.06615133,0.06971579,0.06577805,0.06456783,0.06597241,0.06420915,0.06431935,0.06786085,0.06565652,0.06614505,0.06440583,0.06510548,0.06238449,0.06836882,0.06315597,0.06229375,0.08756382,0.08608542,0.09130152,0.11052258,0.10184369,0.09706471,0.08645826,0.08278328,0.08877512,0.11438912,0.10402781,0.09863657,0.09348552,0.09114323,0.09330551,0.11065252,0.10484331,0.09650863,0.03426813,0.03357419,0.03308062,0.03628047,0.03467132,0.03339561,0.03421428,0.03191472,0.03186781,0.03687185,0.03558525,0.03430437,0.03402229,0.03280768,0.03250675,0.03762631,0.03539533,0.03327568,0.04907035,0.04999222,0.04374116,0.05375147,0.05105895,0.04670724,0.04937218,0.05058645,0.05532098,0.05458735,0.05858375,0.05141098,0.05376802,0.06222715,0.05070427,0.05326086,0.05531501,0.05046073,0.03595054,0.03718949,0.03471202,0.04347933,0.04139629,0.04127679,0.03595286,0.03834527,0.03949056,0.04199322,0.04987785,0.06987747,0.05000033,0.04748712,0.04803625,0.04119064,0.03826587,0.04511425,0.04853062,0.05006178,0.04722242,0.04634899,0.04932864,0.04925625,0.04719038,0.04925231,0.04783221,0.05059577,0.05354895,0.05692401,0.05000323,0.05112962,0.04985783,0.04862628,0.05030205,0.05044077,0.04787834,0.04605208,0.04159848,0.04272668,0.04184609,0.04117168,0.04077949,0.04205826,0.04016024,0.05357166,0.05211057,0.04560372,0.0453776,0.04477908,0.04312331,0.04463479,0.0481196,0.04482769,0.03889144,0.04461372,0.04285773,0.07098101,0.05912922,0.05074267,0.04030456,0.05130863,0.04410435,0.0654504,0.05237921,0.04558915,0.0346217,0.04343106,0.03764621,0.07075452,0.06027069,0.04838129,0.06648136,0.06071885,0.06567893,0.08481934,0.0608228,0.06946361,0.06252642,0.06423603,0.06010543,0.08356188,0.05877362,0.07065219,0.05949792,0.0606966,0.06004173,0.08254491,0.06173929,0.07323414
316188_16_consensus,0.0041732,0.00547996,0.00772691,0.0045028,0.00737518,0.00716291,0.0,0.0065846,0.00761865,0.00543854,0.00745641,0.00668189,0.00645294,0.00688264,0.008589,0.00515433,0.00658905,0.00687283,0.06250792,0.06262079,0.06463768,0.06371668,0.06292061,0.062078,0.06451066,0.06178863,0.06264409,0.06123644,0.06165945,0.06276527,0.06172011,0.0615487,0.06023137,0.0625712,0.060467,0.05994895,0.07386157,0.07243851,0.07700235,0.09293615,0.08590211,0.08158992,0.07310586,0.06944308,0.07482587,0.0966038,0.08732875,0.08284826,0.07867082,0.07651,0.07811001,0.09335445,0.088869,0.08122766,0.03114028,0.02910557,0.02882886,0.02965233,0.02809334,0.02845488,0.03111204,0.0276512,0.02811433,0.03014024,0.02885819,0.02883538,0.03138362,0.02831145,0.02906917,0.03059117,0.02873571,0.02824004,0.04495379,0.04629919,0.04242162,0.04655787,0.04396369,0.04249046,0.04490031,0.04558452,0.04964317,0.04733291,0.04982377,0.04503382,0.04987697,0.05764388,0.04733466,0.0453685,0.04715176,0.04507974,0.04201873,0.04164699,0.03840005,0.04612276,0.04421052,0.04533299,0.04052713,0.04189211,0.04356259,0.04629969,0.05607186,0.07592343,0.05795014,0.05283982,0.05462041,0.0439803,0.04189037,0.0532565,0.04757837,0.04820951,0.04651636,0.04634392,0.04739054,0.04709716,0.04628224,0.04715729,0.04700745,0.05050168,0.05132521,0.05416249,0.04888183,0.04849391,0.0489483,0.04854496,0.04804986,0.04852804,0.04390091,0.04427026,0.0382525,0.04018724,0.03801946,0.03788826,0.03689965,0.03916091,0.03754968,0.04801787,0.04827357,0.04309038,0.04239057,0.04304281,0.04063473,0.04150779,0.04616325,0.04312803,0.03468679,0.03785731,0.03704536,0.0599146,0.05040034,0.04338994,0.03514939,0.04486655,0.03828093,0.05408925,0.04396624,0.03927025,0.03104185,0.03740937,0.03320831,0.05944252,0.05137416,0.04153424,0.06368947,0.05912792,0.06251299,0.07675197,0.06107919,0.06518167,0.06087504,0.06318606,0.05957273,0.07495457,0.05996806,0.06591798,0.05825968,0.06116711,0.05809642,0.07393594,0.06074779,0.06803565
316188_17_consensus,0.00696208,0.00699228,0.0080544,0.00616572,0.00764484,0.0075696,0.0065846,0.0,0.00879673,0.00730293,0.00815674,0.00761056,0.00885004,0.00756271,0.0083447,0.00693,0.00756192,0.00772457,0.06627652,0.06711494,0.06814464,0.06991247,0.06709372,0.06585639,0.06798672,0.0657336,0.06581645,0.0680924,0.06711721,0.06743232,0.0660674,0.06640272,0.06414019,0.06862181,0.06475837,0.06389685,0.08345255,0.0818611,0.08689319,0.10492862,0.09658018,0.09218499,0.08231264,0.07880266,0.0846569,0.10862917,0.09862469,0.09394768,0.08898142,0.0866877,0.08883841,0.10516185,0.09961312,0.09190048,0.03623345,0.03473384,0.03383707,0.03656767,0.03464822,0.03414642,0.03619111,0.03296471,0.03293568,0.03714909,0.03556189,0.03507863,0.03621717,0.03399836,0.03348164,0.03786361,0.03522961,0.03402906,0.04932837,0.05055041,0.04524174,0.05275825,0.04982672,0.04689684,0.04961907,0.05020875,0.05394626,0.05384069,0.05667734,0.0509054,0.05417009,0.06092122,0.05115581,0.05210681,0.05400576,0.05038211,0.04035352,0.0417871,0.03868812,0.04791757,0.04560681,0.04569603,0.04035481,0.04277561,0.04397879,0.04679207,0.05553494,0.07434501,0.05573143,0.05297647,0.05384203,0.0454328,0.0421773,0.04960634,0.05001785,0.05129779,0.04878601,0.04801561,0.0502693,0.05036549,0.04842752,0.05015468,0.04937128,0.05204368,0.05464135,0.05782807,0.05140739,0.05215515,0.05176838,0.05055692,0.05122694,0.05142364,0.0494116,0.0490345,0.04371339,0.04526937,0.04340264,0.04304073,0.04256247,0.04427671,0.04253929,0.05485728,0.05426953,0.04822331,0.04804528,0.04800311,0.04534414,0.04707542,0.05129121,0.04803801,0.03982297,0.04432085,0.04310055,0.06952199,0.05837895,0.05051824,0.04069208,0.05137522,0.04436193,0.06397839,0.05239502,0.04576705,0.03541908,0.0439388,0.03888432,0.06921956,0.05958792,0.04844705,0.07018724,0.06424782,0.06918079,0.08654126,0.06514626,0.07200891,0.06660976,0.06809402,0.06443551,0.08504142,0.0632956,0.0732145,0.063661,0.06532588,0.06383496,0.08387014,0.06568312,0.07575868
316188_18_consensus,0.00897528,0.0069348,0.00766263,0.0071554,0.00788497,0.00834613,0.00761865,0.00879673,0.0,0.00800369,0.00780573,0.00830452,0.01053971,0.00913478,0.00845383,0.00817452,0.00845704,0.00839781,0.05942488,0.06077448,0.06084169,0.06333441,0.06022472,0.05896044,0.06120876,0.05840708,0.05853389,0.06290012,0.06042602,0.06056803,0.05948223,0.05954362,0.05705644,0.06235782,0.05790266,0.05773023,0.07919871,0.07755433,0.0829579,0.10250986,0.09311587,0.08886051,0.07782633,0.07467645,0.08048678,0.10675609,0.0956608,0.09121307,0.08536386,0.08335547,0.08620788,0.10252136,0.09620132,0.08858056,0.03296717,0.03141421,0.02995776,0.03501895,0.0321718,0.03131594,0.03285892,0.03032556,0.02934157,0.03506358,0.03271363,0.03201023,0.03281168,0.03077772,0.02968742,0.0358126,0.03266503,0.03109478,0.04550049,0.04763877,0.04010567,0.0508566,0.04757031,0.04342486,0.04595243,0.04558622,0.04936071,0.05232533,0.05445608,0.04844367,0.05097418,0.05548674,0.04583149,0.04989167,0.05241456,0.0478974,0.03661501,0.03956792,0.03542342,0.04601389,0.04409621,0.04408982,0.03800649,0.04040608,0.04120269,0.04474846,0.0529597,0.07119064,0.05253044,0.05052551,0.05087198,0.04278039,0.03970279,0.04664707,0.04768365,0.04941413,0.04655003,0.0451457,0.04769461,0.04807676,0.04567386,0.04728504,0.04626048,0.04987483,0.05331674,0.05635918,0.0490254,0.05017758,0.04934649,0.04746498,0.04852235,0.0496552,0.04986669,0.05062373,0.0428091,0.04497248,0.04300697,0.04227777,0.04178603,0.04317342,0.04152443,0.05440667,0.05361289,0.04898775,0.04947339,0.04894518,0.04461492,0.04831252,0.05282114,0.04969074,0.03769479,0.04334681,0.04131071,0.06976915,0.05848092,0.04943465,0.03826186,0.04997318,0.04277656,0.06355185,0.05181277,0.04460023,0.0339018,0.04269074,0.03747431,0.06948383,0.05921598,0.04722576,0.06881595,0.06241121,0.06796408,0.08643137,0.06220302,0.07114195,0.06458911,0.0658482,0.06250217,0.08331741,0.06127831,0.07190155,0.06204732,0.0631961,0.06198934,0.08230334,0.06347412,0.07457931
316188_1_consensus,0.0060836,0.00589146,0.00852357,0.0050876,0.00764363,0.00708433,0.00543854,0.00730293,0.00800369,0.0,0.00766108,0.00731939,0.00830006,0.00791562,0.00868867,0.00553327,0.0073612,0.00739788,0.0655091,0.06586799,0.06772978,0.06727869,0.0657386,0.06498664,0.06752319,0.06433041,0.06557661,0.06519767,0.06497194,0.06579157,0.06487779,0.06459523,0.06283225,0.06639057,0.06347131,0.06292356,0.07889703,0.07738875,0.08223153,0.099508,0.09181667,0.08723533,0.07814954,0.07445143,0.07974457,0.1033197,0.09343842,0.08885334,0.08436243,0.08198557,0.08393216,0.09975595,0.09481052,0.08695536,0.03325189,0.03169816,0.03108681,0.03282266,0.03137149,0.03117409,0.03320935,0.03047267,0.0304487,0.03361491,0.03233394,0.03210938,0.03331475,0.03111729,0.03106477,0.03406155,0.03214372,0.03101687,0.04845163,0.0501131,0.04467514,0.0513982,0.04848472,0.04598675,0.04861084,0.04925316,0.05342689,0.05199519,0.05492203,0.04939138,0.0539185,0.06113848,0.05046089,0.0501295,0.05217479,0.04944393,0.04020123,0.04042141,0.0376716,0.04519406,0.04334052,0.04395931,0.0393685,0.04073342,0.04221338,0.04501584,0.05374267,0.07267132,0.05512908,0.05098873,0.05209216,0.04296539,0.04068185,0.05005404,0.04911498,0.04990789,0.04793457,0.04759612,0.04936172,0.04904533,0.04806182,0.04884229,0.04855027,0.05127284,0.05318172,0.05594733,0.05029099,0.05018354,0.05044182,0.05003152,0.04990188,0.05020597,0.04608739,0.04684309,0.04090656,0.04238108,0.04012296,0.04016646,0.03889832,0.04121633,0.03973086,0.05071748,0.04982529,0.0457197,0.04471695,0.04552471,0.04303986,0.04413816,0.04867586,0.04541021,0.03693149,0.04113994,0.03997408,0.06529455,0.05472644,0.0471353,0.03770742,0.04822454,0.04137778,0.0594458,0.04823334,0.04236761,0.03285395,0.04086168,0.03603508,0.06506338,0.05563369,0.04491116,0.06772256,0.06189789,0.06651094,0.08282088,0.06283422,0.06894135,0.06437208,0.06643032,0.06248557,0.08093622,0.06165262,0.07042715,0.06137246,0.0633056,0.06171909,0.0797677,0.06300277,0.07287451
