distance,cls,count
0,hb/hb,172786
0,lb/lb,166364
1,hb/hb,772474
1,lb/lb,722782
1,hb/lb,15686
2,hb/hb,8479143
2,lb/lb,7807076
2,hb/lb,486202
3,hb/hb,55096765
3,lb/lb,47600609
3,hb/lb,8282358
4,hb/hb,249905703
4,lb/lb,190472952
4,hb/lb,86434502
5,hb/hb,840267006
5,lb/lb,555796242
5,hb/lb,573217846
6,hb/hb,2143698117
6,lb/lb,1349378457
6,hb/lb,2420200116
7,hb/hb,3860568016
7,lb/lb,2690234974
7,hb/lb,6313416713
8,hb/hb,4396928603
8,lb/lb,3896991769
8,hb/lb,9434197798
9,hb/hb,2778447461
9,lb/lb,3548842384
9,hb/lb,7431070569
10,hb/hb,710713332
10,lb/lb,1662525308
10,hb/lb,2534448617
