Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,0,LD1,12626,0.724137931034483,0.888888888888889,1,1,1,0.00488633174898545,1,Att_mat,antiberta2-cssp,paired_chain,19.0000103040732,0,,,0.111111111111111
hb,1,LD1,12626,0.703703703703704,0.880238095238095,1,1,1,0.00558899636482831,1,Att_mat,antiberta2-cssp,paired_chain,35.4115549876866,0,,,0.119761904761905
hb,2,LD1,12626,0.615384615384615,0.846153846153846,1,1,1,0.00629166098067117,1,Att_mat,antiberta2-cssp,paired_chain,64.8032437222434,0,,,0.153846153846154
hb,3,LD1,12626,0.516393442622951,0.806451612903226,0.958863819500403,1,1,0.00699432559651402,1,Att_mat,antiberta2-cssp,paired_chain,116.283815392225,0,,,0.193548387096774
hb,4,LD1,12626,0.431818181818182,0.772727272727273,0.928571428571429,1,1,0.00769699021235688,1,Att_mat,antiberta2-cssp,paired_chain,198.657575039413,0,,,0.227272727272727
hb,5,LD1,12626,0.359154929577465,0.73469387755102,0.897810218978102,0.985074626865672,1,0.00839965482819974,1,Att_mat,antiberta2-cssp,paired_chain,326.393862894002,0,,,0.250380749314651
hb,6,LD1,12626,0.288543140028289,0.695433927597393,0.861538461538462,0.966730605285593,1,0.0091023194440426,1,Att_mat,antiberta2-cssp,paired_chain,516.216220672032,0,,,0.271296677688199
hb,7,LD1,12626,0.247524752475248,0.666666666666667,0.828571428571429,0.946515121706938,1,0.00980498405988545,1,Att_mat,antiberta2-cssp,paired_chain,768.512205174706,0,,,0.279848455040271
hb,8,LD1,12626,0.215686274509804,0.639178740596266,0.794117647058824,0.921900420281996,1,0.0105076486757283,1,Att_mat,antiberta2-cssp,paired_chain,1053.04650228235,0,,,0.282721679685729
hb,9,LD1,12626,0.19949494949495,0.616592577799474,0.765122067770257,0.894947473736868,1,0.0112103132915712,1,Att_mat,antiberta2-cssp,paired_chain,1321.9124153778,0,,,0.278354895937394
hb,10,LD1,12626,0.195876288659794,0.600985450465364,0.745331144288125,0.871168367047735,1,0.011912977907414,1,Att_mat,antiberta2-cssp,paired_chain,1535.94968521056,0,,,0.27018291658237
hb,11,LD1,12626,0.20096463022508,0.591795897948975,0.730865432716358,0.852426213106553,1,0.0126156425232569,1,Att_mat,antiberta2-cssp,paired_chain,1684.75391812383,0,,,0.260630315157579
hb,12,LD1,12626,0.202789699570815,0.584792396198099,0.720360180090045,0.840140525512115,1,0.0133183071390997,1,Att_mat,antiberta2-cssp,paired_chain,1781.97659944976,0,,,0.255348129314016
hb,13,LD1,12626,0.204575163398693,0.580681469767142,0.713856928464232,0.83191595797899,1,0.0140209717549426,1,Att_mat,antiberta2-cssp,paired_chain,1849.16482395491,0,,,0.251234488211848
hb,14,LD1,12626,0.200100050025012,0.575787893946974,0.709854927463732,0.826413206603302,1,0.0147236363707855,1,Att_mat,antiberta2-cssp,paired_chain,1899,0,,,0.250625312656328
hb,0,LD1,12542,0,0,1,1,1,0.000366234599227688,9,Att_mat,esm2,paired_chain,19.0000103040732,25,,,1
hb,1,LD1,12542,0,0.333333333333333,1,1,1,0.000433450433168979,9,Att_mat,esm2,paired_chain,39.9197930942101,25,,,0.666666666666667
hb,2,LD1,12542,0.166666666666667,0.666666666666667,0.982456140350877,1,1,0.000500666267110269,9,Att_mat,esm2,paired_chain,79.4411070696246,25,,,0.333333333333333
