Model,Dataset1,Dataset2,Sinkhorn_Distance,Time(s)
ESM2,Wang H-CDR3,Wang H-CDR3,0.0,45127.02642869949
ESM2,Wang H-CDR3,iReceptor,0.40232980251312256,45127.02642869949
ESM2,Wang H-CDR3,Random aa,0.4810737371444702,45127.02642869949
ESM2,Wang H-CDR3,Random shuffled,0.5048327445983887,45127.02642869949
ESM2,Wang H-CDR3,Random,1.15199875831604,45127.02642869949
ESM2,iReceptor,iReceptor,0.0,45127.02642869949
ESM2,iReceptor,Random aa,0.4818742871284485,45127.02642869949
ESM2,iReceptor,Random shuffled,0.44301292300224304,45127.02642869949
ESM2,iReceptor,Random,1.1766774654388428,45127.02642869949
ESM2,Random aa,Random aa,0.0,45127.02642869949
ESM2,Random aa,Random shuffled,0.509407103061676,45127.02642869949
ESM2,Random aa,Random,1.070452094078064,45127.02642869949
ESM2,Random shuffled,Random shuffled,0.0,45127.02642869949
ESM2,Random shuffled,Random,1.1306101083755493,45127.02642869949
ESM2,Random,Random,0.0,45127.02642869949
