Model,Dataset1,Dataset2,Sinkhorn_Distance,Time(s)
ESM2,Wang H-CDR3,Wang H-CDR3,0.0,45120.44358062744
ESM2,Wang H-CDR3,iReceptor,14.405231475830078,45120.44358062744
ESM2,Wang H-CDR3,Random aa,14.458535194396973,45120.44358062744
ESM2,Wang H-CDR3,Random shuffled,14.42312240600586,45120.44358062744
ESM2,Wang H-CDR3,Random,14.776742935180664,45120.44358062744
ESM2,iReceptor,iReceptor,0.0,45120.44358062744
ESM2,iReceptor,Random aa,0.45963186025619507,45120.44358062744
ESM2,iReceptor,Random shuffled,0.49596524238586426,45120.44358062744
ESM2,iReceptor,Random,1.0008668899536133,45120.44358062744
ESM2,Random aa,Random aa,0.0,45120.44358062744
ESM2,Random aa,Random shuffled,0.4412713646888733,45120.44358062744
ESM2,Random aa,Random,0.9713526964187622,45120.44358062744
ESM2,Random shuffled,Random shuffled,0.0,45120.44358062744
ESM2,Random shuffled,Random,0.9787559509277344,45120.44358062744
ESM2,Random,Random,0.0,45120.44358062744
